Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR9169734,2019-06-05 16:31:31,2019-05-31 19:22:49,885033,106203960,0,120,57,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9169734/SRR9169734.1,SRX5944091,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4854885,SAMN11915775,simple,10090,Mus musculus,GSM3838022,,,,,,,no,,,,,GEO,SRA892854,,public,15AF137990F2B22F7456D92DB2E0A26B,C842A68C92EA41765B078E46FB5A859F
SRR9169735,2019-06-05 16:31:31,2019-05-31 19:19:58,799688,95962560,0,120,52,,https://sra-download.ncbi.nlm.nih.gov/traces/sra54/SRR/008954/SRR9169735,SRX5944092,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4854886,SAMN11915774,simple,10090,Mus musculus,GSM3838023,,,,,,,no,,,,,GEO,SRA892854,,public,9E0CCAD537B9C187CD9AF7DE30DC8D47,1FFBADC8F59AC41BC23E234B9E933233
SRR9169736,2019-06-05 16:31:31,2019-05-31 19:21:26,708468,85016160,0,120,46,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/008954/SRR9169736,SRX5944093,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4854887,SAMN11915773,simple,10090,Mus musculus,GSM3838024,,,,,,,no,,,,,GEO,SRA892854,,public,9DA0C7400288729C04A9E8F2AA10F684,B1BCF5488062856D9533CF70EA339307
SRR9169737,2019-06-05 16:31:31,2019-05-31 19:22:28,788181,94581720,0,120,51,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9169737/SRR9169737.1,SRX5944094,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4854888,SAMN11915772,simple,10090,Mus musculus,GSM3838025,,,,,,,no,,,,,GEO,SRA892854,,public,7FAAB4C4F5446F04E8E63B7035D7B927,AADA4CA9418690696DF1E47DFE45B14B
SRR9169522,2019-06-05 16:31:31,2019-05-31 20:03:18,596365,71563800,0,120,38,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/008954/SRR9169522,SRX5944095,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856109,SAMN11916195,simple,10090,Mus musculus,GSM3838410,,,,,,,no,,,,,GEO,SRA892854,,public,DC76F678AEBA6D9341B4F1FA7E4DEE49,C726F1A021F2BE2312C0A5CD2E545702
SRR9169523,2019-06-05 16:31:31,2019-05-31 20:02:17,385307,46236840,0,120,24,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008954/SRR9169523,SRX5944096,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856111,SAMN11916194,simple,10090,Mus musculus,GSM3838411,,,,,,,no,,,,,GEO,SRA892854,,public,7273187D74199843FE5BB364C58B71D1,72E39086A542DBF1D0B3F5505FF6A29A
SRR9169524,2019-06-05 16:31:31,2019-05-31 20:08:48,605605,72672600,0,120,39,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9169524/SRR9169524.1,SRX5944097,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856110,SAMN11916193,simple,10090,Mus musculus,GSM3838412,,,,,,,no,,,,,GEO,SRA892854,,public,AB63A3E7F8589DAFF1D06B15802376D4,F5141A62C9B6B61C5805860AF000E0E3
SRR9169525,2019-06-05 16:31:31,2019-05-31 20:06:15,593324,71198880,0,120,38,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/008954/SRR9169525,SRX5944098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856112,SAMN11916192,simple,10090,Mus musculus,GSM3838413,,,,,,,no,,,,,GEO,SRA892854,,public,4C56C234ECAF1294745CF23A8714B2C8,7667142696EF5EA55B1DC6B1EE25570A
SRR9169526,2019-06-05 16:31:31,2019-05-31 20:05:06,451595,54191400,0,120,29,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/008954/SRR9169526,SRX5944099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856113,SAMN11916191,simple,10090,Mus musculus,GSM3838414,,,,,,,no,,,,,GEO,SRA892854,,public,9F8C71EAE719FE3E924FBCA0FEA7B7E2,BDDAA1E92C5F8D33E1959DD27ED46394
SRR9169527,2019-06-05 16:31:31,2019-05-31 20:05:18,565564,67867680,0,120,36,,https://sra-download.ncbi.nlm.nih.gov/traces/sra54/SRR/008954/SRR9169527,SRX5944100,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856115,SAMN11916190,simple,10090,Mus musculus,GSM3838415,,,,,,,no,,,,,GEO,SRA892854,,public,EA4D518D7E8BAFC781C94C742948C2CB,60C1900D8CE2EAA954E5DDC2C7E53DC0
SRR9169528,2019-06-05 16:31:31,2019-05-31 20:06:21,715345,85841400,0,120,46,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/008954/SRR9169528,SRX5944101,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856114,SAMN11916189,simple,10090,Mus musculus,GSM3838416,,,,,,,no,,,,,GEO,SRA892854,,public,C1D012111F4FD0FDAAB4CAA63E24B4A4,AFD93163CFD15786CBA89373F72A21A0
SRR9169529,2019-06-05 16:31:31,2019-05-31 20:06:20,677682,81321840,0,120,43,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/008954/SRR9169529,SRX5944102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856116,SAMN11916188,simple,10090,Mus musculus,GSM3838417,,,,,,,no,,,,,GEO,SRA892854,,public,554F048429DAD09D8641E56EDB1458A5,2226845D70503A424A3822B14499C55F
SRR9169530,2019-06-05 16:31:31,2019-05-31 20:05:30,557728,66927360,0,120,35,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/008954/SRR9169530,SRX5944103,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856117,SAMN11916187,simple,10090,Mus musculus,GSM3838418,,,,,,,no,,,,,GEO,SRA892854,,public,B76D50701B916630CFCF0B6AE6B4A995,2877071327CA6411D6A5F24389429617
SRR9169531,2019-06-05 16:31:31,2019-05-31 20:06:03,635806,76296720,0,120,41,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/008954/SRR9169531,SRX5944104,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856118,SAMN11916186,simple,10090,Mus musculus,GSM3838419,,,,,,,no,,,,,GEO,SRA892854,,public,C961A7D46DF2A73D982788F0ED72E1AE,6155E5901174BD114BFF86EAD00A573B
SRR9169532,2019-06-05 16:31:31,2019-05-31 20:05:58,681111,81733320,0,120,43,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9169532/SRR9169532.1,SRX5944105,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856119,SAMN11916184,simple,10090,Mus musculus,GSM3838420,,,,,,,no,,,,,GEO,SRA892854,,public,F7CEE2DB76E92B7DE2D7D7FE4CB59E58,B67D3A225DB281E7A10C11E99C877453
SRR9169533,2019-06-05 16:31:31,2019-05-31 20:09:19,701077,84129240,0,120,45,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/008954/SRR9169533,SRX5944106,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856120,SAMN11916124,simple,10090,Mus musculus,GSM3838421,,,,,,,no,,,,,GEO,SRA892854,,public,E1BF9B909B4CA20A7AB3FB20BF54C3EF,EE02A0CAD3BB515753883F60912496A7
SRR9169534,2019-06-05 16:31:31,2019-05-31 20:09:15,631593,75791160,0,120,40,,https://sra-download.ncbi.nlm.nih.gov/traces/sra54/SRR/008954/SRR9169534,SRX5944107,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856121,SAMN11916123,simple,10090,Mus musculus,GSM3838422,,,,,,,no,,,,,GEO,SRA892854,,public,6A786C8E6D4A31A87D9CB7493E0E9AAD,92733696471F7853F036CEED663DB64E
SRR9169535,2019-06-05 16:31:31,2019-05-31 20:05:50,610826,73299120,0,120,39,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9169535/SRR9169535.1,SRX5944108,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856123,SAMN11916122,simple,10090,Mus musculus,GSM3838423,,,,,,,no,,,,,GEO,SRA892854,,public,026B27DEC34138285E6DB48EEF384DB8,71F1C05774961F70D0B67C6E0B5CE52B
SRR9169752,2019-06-05 16:31:31,2019-05-31 20:04:33,472427,56691240,0,120,30,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008954/SRR9169752,SRX5944109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856122,SAMN11916121,simple,10090,Mus musculus,GSM3838424,,,,,,,no,,,,,GEO,SRA892854,,public,7DA2FE41562739B85701B76E25338FEC,89827605F6E0C876E95C38343C815588
SRR9169753,2019-06-05 16:31:31,2019-05-31 20:05:58,681761,81811320,0,120,44,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9169753/SRR9169753.1,SRX5944110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856124,SAMN11916161,simple,10090,Mus musculus,GSM3838425,,,,,,,no,,,,,GEO,SRA892854,,public,5F7D5F27C3529FF2691784F96C53BA33,B7130EAF11E80DA44F0DEED4C2BF3E36
SRR9169754,2019-06-05 16:31:31,2019-05-31 20:05:40,578754,69450480,0,120,37,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/008954/SRR9169754,SRX5944111,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856125,SAMN11916160,simple,10090,Mus musculus,GSM3838426,,,,,,,no,,,,,GEO,SRA892854,,public,D9B94D519AEA4761F64E355C44C45938,A7C3785ECCD07412C27E2983BE62D944
SRR9169755,2019-06-05 16:31:31,2019-05-31 20:06:27,617638,74116560,0,120,40,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/008954/SRR9169755,SRX5944112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856126,SAMN11916159,simple,10090,Mus musculus,GSM3838427,,,,,,,no,,,,,GEO,SRA892854,,public,26A47494DA7526324131FF02E0C9E7B8,624302853305578B3DDF70781952AB5E
SRR9169756,2019-06-05 16:31:31,2019-05-31 20:08:48,709830,85179600,0,120,45,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9169756/SRR9169756.1,SRX5944113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856128,SAMN11916158,simple,10090,Mus musculus,GSM3838428,,,,,,,no,,,,,GEO,SRA892854,,public,86EFADA4E87D55CD3BF91543091FBBFD,8EB39B2C5CEA6E756136E0B4F8847C74
SRR9169757,2019-06-05 16:31:31,2019-05-31 20:03:48,228692,27443040,0,120,14,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/008954/SRR9169757,SRX5944114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856127,SAMN11916157,simple,10090,Mus musculus,GSM3838429,,,,,,,no,,,,,GEO,SRA892854,,public,1FF486F21128C62DD6797B7616FB7181,C884B4ECEA5CF6FBEB8103BEF77B1529
SRR9169758,2019-06-05 16:31:31,2019-05-31 20:09:15,669646,80357520,0,120,43,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008954/SRR9169758,SRX5944115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856129,SAMN11916156,simple,10090,Mus musculus,GSM3838430,,,,,,,no,,,,,GEO,SRA892854,,public,BD142EB135B93C5C98DDA171592F56EA,3BFA3F569BF8B60EF69CCB4BE324BBE1
SRR9169759,2019-06-05 16:31:31,2019-05-31 20:04:18,387744,46529280,0,120,25,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/008954/SRR9169759,SRX5944116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856130,SAMN11916155,simple,10090,Mus musculus,GSM3838431,,,,,,,no,,,,,GEO,SRA892854,,public,942D8DAF43FD8FC7E1B3A210E40A1E8B,1E8C1B4D11FE7FA132543DCC42E7E6C8
SRR9169760,2019-06-05 16:31:31,2019-05-31 20:09:15,539748,64769760,0,120,34,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/008954/SRR9169760,SRX5944117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856131,SAMN11916154,simple,10090,Mus musculus,GSM3838432,,,,,,,no,,,,,GEO,SRA892854,,public,8E899DB057406EF26810A310736F4B9A,A864B1EC6702C49B8EE55201D3BCE6FD
SRR9169761,2019-06-05 16:31:31,2019-05-31 20:11:05,666444,79973280,0,120,43,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/008954/SRR9169761,SRX5944118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP200058,PRJNA545730,,545730,SRS4856132,SAMN11916153,simple,10090,Mus musculus,GSM3838433,,,,,,,no,,,,,GEO,SRA892854,,public,5FF1CE2E0063710930B5E71C4D8E5443,7AE81FF26972FA13179C9F303F76D1AB
